epoch,train_loss,train_l1,train_ssim,train_psnr,grad_norm,val_psnr,val_ssim,val_loss,test_psnr,test_ssim,test_loss,lr
1,0.166776,0.023875,0.8571,28.8398,0.2706,,,,,,,0.000100
2,0.149443,0.020055,0.8706,29.8413,0.1643,,,,,,,0.000100
3,0.149230,0.019978,0.8707,29.8474,0.1026,,,,,,,0.000100
4,0.148318,0.019871,0.8716,29.9082,0.1533,,,,,,,0.000100
5,0.147179,0.019858,0.8727,29.8919,0.0958,32.4768,0.9113,0.1061,,,,0.000100
6,0.145165,0.019605,0.8744,30.0088,0.0628,,,,,,,0.000100
7,0.143129,0.019432,0.8763,30.0610,0.0833,,,,,,,0.000100
8,0.141870,0.019329,0.8775,30.0776,0.0684,,,,,,,0.000100
9,0.141980,0.019320,0.8773,30.0771,0.0886,,,,,,,0.000100
10,0.139770,0.019150,0.8794,30.1474,0.0519,32.4892,0.9133,0.1042,,,,0.000100
11,0.140142,0.019182,0.8790,30.0911,0.0777,,,,,,,0.000100
12,0.139815,0.019151,0.8793,30.1059,0.0863,,,,,,,0.000100
13,0.137821,0.018979,0.8812,30.1846,0.0595,,,,,,,0.000100
14,0.136899,0.018900,0.8820,30.2044,0.0696,,,,,,,0.000100
15,0.137301,0.018902,0.8816,30.2203,0.0748,32.7255,0.9153,0.1017,,,,0.000100
16,0.136980,0.018864,0.8819,30.2168,0.0593,,,,,,,0.000100
17,0.135891,0.018777,0.8829,30.2591,0.0609,,,,,,,0.000100
18,0.135446,0.018717,0.8833,30.3091,0.0896,,,,,,,0.000100
19,0.135584,0.018755,0.8832,30.2572,0.1631,,,,,,,0.000100
20,0.135637,0.018749,0.8831,30.2664,0.0777,32.6811,0.9155,0.1016,,,,0.000100
21,0.134480,0.018677,0.8842,30.2919,0.0797,,,,,,,0.000100
22,0.134575,0.018698,0.8841,30.2843,0.0631,,,,,,,0.000100
23,0.134159,0.018624,0.8845,30.3133,0.1284,,,,,,,0.000100
24,0.133253,0.018503,0.8852,30.3864,0.0558,,,,,,,0.000100
25,0.132963,0.018500,0.8855,30.3909,0.0630,32.5781,0.9147,0.1026,,,,0.000100
26,0.132622,0.018491,0.8859,30.3722,0.0466,,,,,,,0.000100
27,0.132746,0.018469,0.8857,30.4100,0.0635,,,,,,,0.000100
28,0.132400,0.018462,0.8861,30.3903,0.0917,,,,,,,0.000100
29,0.132125,0.018439,0.8863,30.3985,0.0508,,,,,,,0.000100
30,0.132071,0.018463,0.8864,30.3875,0.0865,32.5018,0.9140,0.1035,,,,0.000010
31,0.131755,0.018385,0.8866,30.4282,0.0545,,,,,,,0.000010
32,0.130844,0.018317,0.8875,30.4367,0.0703,,,,,,,0.000010
33,0.131695,0.018403,0.8867,30.3945,0.0597,,,,,,,0.000010
34,0.129088,0.018147,0.8891,30.5143,0.0780,,,,,,,0.000010
35,0.130237,0.018196,0.8880,30.5085,0.0659,32.7822,0.9166,0.1003,,,,0.000010
36,0.129689,0.018126,0.8884,30.5350,0.0499,,,,,,,0.000010
37,0.129600,0.018177,0.8886,30.5029,0.0498,,,,,,,0.000010
38,0.129583,0.018195,0.8886,30.4818,0.0496,,,,,,,0.000010
39,0.129565,0.018200,0.8886,30.5046,0.0543,,,,,,,0.000010
40,0.129551,0.018187,0.8886,30.5014,0.0770,32.7535,0.9165,0.1005,,,,0.000010
41,0.129775,0.018214,0.8884,30.4982,0.0615,,,,,,,0.000010
42,0.129659,0.018179,0.8885,30.5125,0.0550,,,,,,,0.000010
43,0.129046,0.018096,0.8890,30.5342,0.0551,,,,,,,0.000010
44,0.128551,0.018056,0.8895,30.5699,0.0597,,,,,,,0.000010
45,0.129412,0.018151,0.8887,30.5307,0.0811,32.7917,0.9166,0.1003,,,,0.000010
46,0.130609,0.018279,0.8877,30.4511,0.0548,,,,,,,0.000010
47,0.128639,0.018065,0.8894,30.5723,0.0506,,,,,,,0.000010
48,0.129300,0.018102,0.8888,30.5536,0.0563,,,,,,,0.000010
49,0.130871,0.018324,0.8875,30.4188,0.0629,,,,,,,0.000010
50,0.129549,0.018164,0.8886,30.5187,0.0607,32.7703,0.9165,0.1004,,,,0.000010
51,0.128995,0.018088,0.8891,30.5518,0.0470,,,,,,,0.000010
52,0.129732,0.018185,0.8885,30.4879,0.1406,,,,,,,0.000010
53,0.129002,0.018134,0.8891,30.5167,0.0580,,,,,,,0.000010
54,0.129996,0.018195,0.8882,30.4811,0.0556,,,,,,,0.000010
55,0.129459,0.018210,0.8888,30.4756,0.1024,32.7801,0.9165,0.1004,,,,0.000010
56,0.129579,0.018165,0.8886,30.5175,0.0756,,,,,,,0.000010
57,0.129081,0.018108,0.8890,30.5466,0.0694,,,,,,,0.000010
58,0.129276,0.018148,0.8889,30.5259,0.0823,,,,,,,0.000010
59,0.129954,0.018169,0.8882,30.5325,0.0621,,,,,,,0.000010
60,0.129162,0.018120,0.8890,30.5349,0.0578,32.7788,0.9166,0.1003,,,,0.000001
61,0.128256,0.018035,0.8898,30.5729,0.0418,,,,,,,0.000001
62,0.127918,0.017965,0.8900,30.6227,0.0650,,,,,,,0.000001
63,0.129579,0.018163,0.8886,30.5109,0.0649,,,,,,,0.000001
64,0.128564,0.018047,0.8895,30.5590,0.0638,,,,,,,0.000001
